2025-05-23 00:08:08,184 INFO START: Fetch Discord messages
2025-05-23 00:08:08,364 INFO 2025-05-23 00:08:08,364 - __main__ - INFO - 🔌 Connecting to Discord...
2025-05-23 00:08:08,364 INFO 2025-05-23 00:08:08,364 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-05-23 00:08:08,364 INFO 2025-05-23 00:08:08,364 - discord.client - INFO - logging in using static token
2025-05-23 00:08:09,224 INFO 2025-05-23 00:08:09,224 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: b7107446df4305e1815cd05f746bfcd8).
2025-05-23 00:08:11,248 INFO 2025-05-23 00:08:11,247 - __main__ - INFO - ✅ Logged in as: Pepe#4178 (ID: 1362434210895364327)
2025-05-23 00:08:11,248 INFO 2025-05-23 00:08:11,248 - __main__ - INFO -
2025-05-23 00:08:11,248 INFO 📂 Guild: Gen AI Global (ID: 1353058864810950737)
2025-05-23 00:08:11,265 INFO 2025-05-23 00:08:11,265 - __main__ - INFO -   📄 Channel: #jose-test | after=None
2025-05-23 00:08:11,466 INFO 2025-05-23 00:08:11,466 - __main__ - INFO -     🚫 Skipped channel #jose-test: insufficient permissions
2025-05-23 00:08:11,471 INFO 2025-05-23 00:08:11,471 - __main__ - INFO -   📄 Channel: #frederique-private-playground | after=None
2025-05-23 00:08:11,749 INFO 2025-05-23 00:08:11,749 - __main__ - INFO -     🚫 Skipped channel #frederique-private-playground: insufficient permissions
2025-05-23 00:08:11,755 INFO 2025-05-23 00:08:11,754 - __main__ - INFO -   📄 Channel: #private-diellza | after=None
2025-05-23 00:08:11,952 INFO 2025-05-23 00:08:11,952 - __main__ - INFO -     🚫 Skipped channel #private-diellza: insufficient permissions
2025-05-23 00:08:11,959 INFO 2025-05-23 00:08:11,959 - __main__ - INFO -   📄 Channel: #📣general | after=1374786583428857907
2025-05-23 00:08:12,260 INFO 2025-05-23 00:08:12,259 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:12,266 INFO 2025-05-23 00:08:12,266 - __main__ - INFO -   📄 Channel: #🎯admin-onboarding | after=1370112454637523107
2025-05-23 00:08:12,567 INFO 2025-05-23 00:08:12,567 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:12,573 INFO 2025-05-23 00:08:12,573 - __main__ - INFO -   📄 Channel: #🗣convo-leaders | after=1373054631600455710
2025-05-23 00:08:13,142 INFO 2025-05-23 00:08:13,141 - __main__ - INFO -     ✅ Fetched 2 new messages
2025-05-23 00:08:13,152 INFO 2025-05-23 00:08:13,152 - __main__ - INFO -   📄 Channel: #👋admin-introductions | after=1366716220099006575
2025-05-23 00:08:13,390 INFO 2025-05-23 00:08:13,390 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:13,398 INFO 2025-05-23 00:08:13,397 - __main__ - INFO -   📄 Channel: #❌💻non-coders | after=1373046091708371025
2025-05-23 00:08:13,609 INFO 2025-05-23 00:08:13,608 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:13,615 INFO 2025-05-23 00:08:13,615 - __main__ - INFO -   📄 Channel: #🤖agent-dev | after=1374023678391619584
2025-05-23 00:08:13,824 INFO 2025-05-23 00:08:13,824 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:13,830 INFO 2025-05-23 00:08:13,830 - __main__ - INFO -   📄 Channel: #🏘admin-general-chat | after=1374437691176779889
2025-05-23 00:08:14,342 INFO 2025-05-23 00:08:14,342 - __main__ - INFO -     ✅ Fetched 2 new messages
2025-05-23 00:08:14,349 INFO 2025-05-23 00:08:14,349 - __main__ - INFO -   📄 Channel: #🏘general-chat | after=None
2025-05-23 00:08:14,560 INFO 2025-05-23 00:08:14,560 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:14,562 INFO 2025-05-23 00:08:14,562 - __main__ - INFO -   📄 Channel: #❌💻non-coders-learning | after=1372963590729891971
2025-05-23 00:08:14,847 INFO 2025-05-23 00:08:14,845 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:14,852 INFO 2025-05-23 00:08:14,852 - __main__ - INFO -   📄 Channel: #👾discord-managers | after=1374393751333765194
2025-05-23 00:08:15,058 INFO 2025-05-23 00:08:15,057 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:15,063 INFO 2025-05-23 00:08:15,062 - __main__ - INFO -   📄 Channel: #📸content-creation | after=1374385140889026602
2025-05-23 00:08:15,433 INFO 2025-05-23 00:08:15,433 - __main__ - INFO -     📫 No new messages
2025-05-23 00:08:15,439 INFO 2025-05-23 00:08:15,439 - __main__ - INFO -   📄 Channel: #🛝discord-pg | after=1374884497945792552
2025-05-23 00:08:16,004 INFO 2025-05-23 00:08:16,004 - __main__ - INFO -     ✅ Fetched 6 new messages
2025-05-23 00:08:16,015 INFO 2025-05-23 00:08:16,015 - __main__ - INFO -   📄 Channel: #🗣convo-leaders-chat | after=1374748588894064735
2025-05-23 00:08:16,457 INFO 2025-05-23 00:08:16,457 - __main__ - INFO -     📫 No new messages
